Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Structure
Al(HO)3,Triclinic,P1,1,28,0.025206,-2.03742,FALSE,216.4379,2.393813,5.002,FALSE,FALSE,NM,0.000133,4.887881,10.45078,7.826537,"# generated using pymatgen
  data_Al(HO)3
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 5.17253600
  _cell_length_b 6.32275260
  _cell_length_c 6.75343157
  _cell_angle_alpha 83.64663109
  _cell_angle_beta 85.03964538
  _cell_angle_gamma 81.29758664
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural Al(HO)3
  _chemical_formula_sum 'Al4 H12 O12'
  _cell_volume 216.43792482
  _cell_formula_units_Z 4
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al Al0 1 0.53923900 0.16523600 0.83323200 1
  Al Al1 1 0.49164300 0.83083500 0.17270800 1
  Al Al2 1 0.02264300 0.32796600 0.66878600 1
  Al Al3 1 0.00803100 0.66923900 0.33742700 1
  H H4 1 0.19213900 0.95104300 0.81266700 1
  H H5 1 0.83358100 0.04879100 0.19526400 1
  H H6 1 0.65017600 0.46626600 0.32676800 1
  H H7 1 0.38305200 0.53159500 0.68298000 1
  H H8 1 0.27614700 0.28883800 0.31964300 1
  H H9 1 0.77333900 0.71024300 0.69243900 1
  H H10 1 0.86499000 0.83349900 0.93984300 1
  H H11 1 0.17101300 0.17104700 0.07829500 1
  H H12 1 0.75629800 0.09196100 0.49417000 1
  H H13 1 0.27568500 0.90277600 0.51253000 1
  H H14 1 0.24592000 0.59877400 0.98807200 1
  H H15 1 0.78187100 0.39907600 0.01580100 1
  O O16 1 0.25762100 0.06053600 0.71590800 1
  O O17 1 0.77272200 0.93599400 0.29080700 1
  O O18 1 0.72090800 0.56377300 0.22027200 1
  O O19 1 0.30933900 0.43290400 0.78704100 1
  O O20 1 0.17297300 0.38789700 0.40855000 1
  O O21 1 0.85601600 0.60885800 0.59762800 1
  O O22 1 0.67947700 0.86872400 0.91267400 1
  O O23 1 0.35820000 0.12746200 0.09430100 1
  O O24 1 0.74591800 0.19378500 0.59665600 1
  O O25 1 0.28369700 0.80329800 0.40840300 1
  O O26 1 0.20354200 0.71541400 0.07863000 1
  O O27 1 0.82628600 0.28215200 0.92614900 1"
Al(HO)3,Triclinic,P1,1,14,0.058001,-2.00463,FALSE,112.2168,2.30853,4.5759,FALSE,FALSE,NM,0.000284,1.013356,6.456296,3.885026,"# generated using pymatgen
  data_Al(HO)3
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 4.99653000
  _cell_length_b 5.03914962
  _cell_length_c 5.05129386
  _cell_angle_alpha 117.88705858
  _cell_angle_beta 92.15520781
  _cell_angle_gamma 91.30029720
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural Al(HO)3
  _chemical_formula_sum 'Al2 H6 O6'
  _cell_volume 112.21682128
  _cell_formula_units_Z 2
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al Al0 1 0.00844000 0.34270600 0.65190200 1
  Al Al1 1 0.00768900 0.68274300 0.31329500 1
  H H2 1 0.40121300 0.43897500 0.00192100 1
  H H3 1 0.24922200 0.09384300 0.22081300 1
  H H4 1 0.24878000 0.85322400 0.79610700 1
  H H5 1 0.74914700 0.77039300 0.90451300 1
  H H6 1 0.61374700 0.99996000 0.53632900 1
  H H7 1 0.75918000 0.20419200 0.14952400 1
  O O8 1 0.21396800 0.37519500 0.99746700 1
  O O9 1 0.22411300 0.03064400 0.37403800 1
  O O10 1 0.20988800 0.65708700 0.62410500 1
  O O11 1 0.79542600 0.61856900 0.96317700 1
  O O12 1 0.79856200 0.99940700 0.60559300 1
  O O13 1 0.80694400 0.37676400 0.34143600 1"
Al(IO3)3,Hexagonal,P6_3,173,26,0,-1.3105,TRUE,363.7523,5.036956,3.3466,FALSE,FALSE,NM,0,1.573204,8.337935,4.302179,"# generated using pymatgen
  data_Al(IO3)3
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 8.99652604
  _cell_length_b 8.99665586
  _cell_length_c 5.18950711
  _cell_angle_alpha 89.99861261
  _cell_angle_beta 90.00127858
  _cell_angle_gamma 120.00159703
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural Al(IO3)3
  _chemical_formula_sum 'Al2 I6 O18'
  _cell_volume 363.75226243
  _cell_formula_units_Z 2
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al Al0 1 0.33332455 0.66666398 0.08198280 1
  Al Al1 1 0.66667358 0.33334731 0.58199315 1
  I I2 1 0.33410644 0.31225787 0.22160976 1
  I I3 1 0.66588367 0.68772962 0.72163807 1
  I I4 1 0.02186219 0.33414658 0.72165705 1
  I I5 1 0.97814427 0.66585986 0.22165231 1
  I I6 1 0.31233136 0.97817761 0.72165802 1
  I I7 1 0.68767774 0.02183353 0.22170229 1
  O O8 1 0.13156443 0.54877143 0.87535151 1
  O O9 1 0.51702953 0.80646356 0.30558437 1
  O O10 1 0.28942356 0.48293241 0.30554490 1
  O O11 1 0.19351460 0.71056787 0.30557338 1
  O O12 1 0.48296751 0.19354858 0.80558965 1
  O O13 1 0.80648940 0.28943191 0.80557097 1
  O O14 1 0.58276720 0.13154498 0.37540717 1
  O O15 1 0.21582556 0.17378082 0.48305102 1
  O O16 1 0.17381386 0.95795750 0.98301178 1
  O O17 1 0.45122898 0.58282233 0.87534495 1
  O O18 1 0.82618044 0.04202507 0.48307562 1
  O O19 1 0.54876554 0.41718224 0.37532912 1
  O O20 1 0.41723598 0.86845277 0.87538376 1
  O O21 1 0.95792231 0.78413514 0.48304300 1
  O O22 1 0.71058044 0.51706380 0.80556570 1
  O O23 1 0.04207240 0.21586177 0.98307101 1
  O O24 1 0.86843818 0.45122796 0.37534144 1
  O O25 1 0.78417631 0.82621349 0.98307219 1"
Al4CN3O,Orthorhombic,Cmc2_1,36,18,0.883537,-0.8204,FALSE,244.7821,2.414421,0.1347,FALSE,FALSE,FM,6.001506,1.143748,18.98024,4.154139,"# generated using pymatgen
  data_Al4CN3O
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 5.39663147
  _cell_length_b 5.39663147
  _cell_length_c 9.06709800
  _cell_angle_alpha 90.00000000
  _cell_angle_beta 90.00000000
  _cell_angle_gamma 112.03265358
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural Al4CN3O
  _chemical_formula_sum 'Al8 C2 N6 O2'
  _cell_volume 244.78207424
  _cell_formula_units_Z 2
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al Al0 1 0.89537800 0.54878000 0.39113100 1
  Al Al1 1 0.45122000 0.10462200 0.39113100 1
  Al Al2 1 0.10462200 0.45122000 0.89113100 1
  Al Al3 1 0.54878000 0.89537800 0.89113100 1
  Al Al4 1 0.04887900 0.95112100 0.67689600 1
  Al Al5 1 0.95112100 0.04887900 0.17689600 1
  Al Al6 1 0.40343600 0.59656400 0.59241000 1
  Al Al7 1 0.59656400 0.40343600 0.09241000 1
  C C8 1 0.19638700 0.80361300 0.50491600 1
  C C9 1 0.80361300 0.19638700 0.00491600 1
  N N10 1 0.67881400 0.83083800 0.70764900 1
  N N11 1 0.32118600 0.16916200 0.20764900 1
  N N12 1 0.18199000 0.81801000 0.83690900 1
  N N13 1 0.83083800 0.67881400 0.20764900 1
  N N14 1 0.81801000 0.18199000 0.33690900 1
  N N15 1 0.16916200 0.32118600 0.70764900 1
  O O16 1 0.43573700 0.56426300 0.97683000 1
  O O17 1 0.56426200 0.43573800 0.47683000 1"
AlAgS2,Trigonal,P3m1,156,4,0.070424,-0.8331,FALSE,74.87495,4.412873,1.7077,FALSE,FALSE,NM,0.0000007,2.292167,33.61016,25.94073,"# generated using pymatgen
  data_AlAgS2
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 3.54026351
  _cell_length_b 3.54026351
  _cell_length_c 6.89818300
  _cell_angle_alpha 90.00000000
  _cell_angle_beta 90.00000000
  _cell_angle_gamma 119.99999094
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural AlAgS2
  _chemical_formula_sum 'Al1 Ag1 S2'
  _cell_volume 74.87495279
  _cell_formula_units_Z 1
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al Al0 1 0.00000000 0.00000000 0.00828700 1
  Ag Ag1 1 0.33333300 0.66666700 0.54321600 1
  S S2 1 0.33333300 0.66666700 0.18869900 1
  S S3 1 0.66666700 0.33333300 0.80479900 1"
AlBiO3,Trigonal,R3c,161,10,0.053335,-2.50784,FALSE,113.6752,8.296037,2.9779,FALSE,FALSE,NM,0.001087,5.064935,46.39152,40.38486,"# generated using pymatgen
  data_AlBiO3
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 5.45999944
  _cell_length_b 5.45999944
  _cell_length_c 5.45999921
  _cell_angle_alpha 59.45710362
  _cell_angle_beta 59.45710362
  _cell_angle_gamma 59.45710056
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural AlBiO3
  _chemical_formula_sum 'Al2 Bi2 O6'
  _cell_volume 113.67521373
  _cell_formula_units_Z 2
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al Al0 1 0.72139000 0.72139000 0.72139000 1
  Al Al1 1 0.22139000 0.22139000 0.22139000 1
  Bi Bi2 1 0.99441500 0.99441500 0.99441500 1
  Bi Bi3 1 0.49441500 0.49441500 0.49441500 1
  O O4 1 0.91561900 0.45012500 0.01494900 1
  O O5 1 0.51494900 0.95012500 0.41561900 1
  O O6 1 0.45012500 0.01494900 0.91561900 1
  O O7 1 0.41561900 0.51494900 0.95012500 1
  O O8 1 0.95012500 0.41561900 0.51494900 1
  O O9 1 0.01494900 0.91561900 0.45012500 1"
AlCo(WO4)2,Triclinic,P1,1,12,0.130333,-2.17272,FALSE,141.6129,6.819667,0.0283,TRUE,FALSE,FiM,1.999995,4.539356,31.13611,17.87887,"# generated using pymatgen
  data_AlCo(WO4)2
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 5.05992400
  _cell_length_b 5.47169946
  _cell_length_c 5.74262544
  _cell_angle_alpha 106.45656337
  _cell_angle_beta 89.85486036
  _cell_angle_gamma 110.87107161
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural AlCo(WO4)2
  _chemical_formula_sum 'Al1 Co1 W2 O8'
  _cell_volume 141.61290178
  _cell_formula_units_Z 1
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al Al0 1 0.52323700 0.14506900 0.77833300 1
  Co Co1 1 0.96545500 0.12878100 0.32163400 1
  W W2 1 0.70321700 0.59327600 0.39123200 1
  W W3 1 0.21745000 0.60207700 0.02727500 1
  O O4 1 0.65975200 0.86302200 0.63966600 1
  O O5 1 0.73856500 0.33181900 0.53716400 1
  O O6 1 0.64203500 0.78725800 0.15403100 1
  O O7 1 0.80175400 0.34696900 0.04332300 1
  O O8 1 0.25708000 0.88121800 0.89835000 1
  O O9 1 0.28573500 0.32336500 0.76455500 1
  O O10 1 0.31015500 0.39050900 0.25824100 1
  O O11 1 0.09566300 0.80273400 0.36469200 1"
AlHO2,Orthorhombic,Pmn2_1,31,8,0.041693,-2.60898,FALSE,58.19434,3.423456,5.6572,FALSE,FALSE,NM,0,2.440293,10.15844,6.970157,"# generated using pymatgen
  data_AlHO2
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 2.86154600
  _cell_length_b 4.26347800
  _cell_length_c 4.76997400
  _cell_angle_alpha 90.00000000
  _cell_angle_beta 90.00000000
  _cell_angle_gamma 90.00000000
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural AlHO2
  _chemical_formula_sum 'Al2 H2 O4'
  _cell_volume 58.19434305
  _cell_formula_units_Z 2
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al Al0 1 0.50000000 0.27633700 0.49111900 1
  Al Al1 1 0.00000000 0.72366300 0.99111900 1
  H H2 1 0.50000000 0.19450600 0.97696000 1
  H H3 1 0.00000000 0.80549400 0.47696000 1
  O O4 1 0.00000000 0.50252100 0.64877800 1
  O O5 1 0.50000000 0.49747900 0.14877800 1
  O O6 1 0.00000000 0.00093600 0.34855300 1
  O O7 1 0.50000000 0.99906400 0.84855300 1"
AlHO2,Orthorhombic,Cmc2_1,36,8,0.00737,-2.6433,FALSE,63.32044,3.14631,5.286,FALSE,FALSE,NM,0,1.41404,8.501943,5.614299,"# generated using pymatgen
  data_AlHO2
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 6.14653375
  _cell_length_b 6.14653375
  _cell_length_c 3.70066778
  _cell_angle_alpha 90.00000000
  _cell_angle_beta 90.00000000
  _cell_angle_gamma 26.92996224
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural AlHO2
  _chemical_formula_sum 'Al2 H2 O4'
  _cell_volume 63.32043996
  _cell_formula_units_Z 2
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al Al0 1 0.68097016 0.68097016 0.25122022 1
  Al Al1 1 0.31902984 0.31902984 0.75122022 1
  H H2 1 0.01954244 0.01954244 0.43845705 1
  H H3 1 0.98045756 0.98045756 0.93845705 1
  O O4 1 0.29094010 0.29094010 0.25185776 1
  O O5 1 0.70905990 0.70905990 0.75185776 1
  O O6 1 0.07810967 0.07810967 0.24717996 1
  O O7 1 0.92189033 0.92189033 0.74717996 1"
AlHO2,Triclinic,P1,1,8,0.174965,-2.47571,FALSE,72.70467,2.740206,4.4054,FALSE,FALSE,NM,0.000389,2.233476,11.134,8.304398,"# generated using pymatgen
  data_AlHO2
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 2.96270900
  _cell_length_b 3.73820962
  _cell_length_c 6.80357062
  _cell_angle_alpha 99.74745661
  _cell_angle_beta 101.64447733
  _cell_angle_gamma 89.63555061
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural AlHO2
  _chemical_formula_sum 'Al2 H2 O4'
  _cell_volume 72.70467185
  _cell_formula_units_Z 2
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al Al0 1 0.62964000 0.20455400 0.32663000 1
  Al Al1 1 0.30034500 0.79574400 0.63707300 1
  H H2 1 0.66192700 0.31105200 0.73339500 1
  H H3 1 0.97019800 0.96438900 0.97214900 1
  O O4 1 0.38252800 0.29301700 0.62212000 1
  O O5 1 0.72674100 0.73445100 0.43985700 1
  O O6 1 0.06904900 0.15737300 0.18994700 1
  O O7 1 0.89642800 0.85776400 0.81801400 1"
AlPO4,Orthorhombic,C222_1,20,12,0.007732,-3.11657,FALSE,173.4598,2.334921,5.475,TRUE,FALSE,NM,0.0000001,2.11313,16.99186,14.69894,"# generated using pymatgen
  data_AlPO4
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 4.99704215
  _cell_length_b 4.99704153
  _cell_length_c 6.94665346
  _cell_angle_alpha 90.00000000
  _cell_angle_beta 90.00000000
  _cell_angle_gamma 90.20042164
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural AlPO4
  _chemical_formula_sum 'Al2 P2 O8'
  _cell_volume 173.45984300
  _cell_formula_units_Z 2
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al Al0 1 0.19448302 0.19448302 0.25000000 1
  Al Al1 1 0.80551698 0.80551698 0.75000000 1
  P P2 1 0.30717876 0.69282124 0.00000000 1
  P P3 1 0.69282124 0.30717876 0.50000000 1
  O O4 1 0.26409037 0.40086657 0.05486973 1
  O O5 1 0.73590963 0.59913343 0.55486973 1
  O O6 1 0.40086657 0.26409037 0.44513027 1
  O O7 1 0.59913343 0.73590963 0.94513027 1
  O O8 1 0.23676780 0.86682708 0.17290648 1
  O O9 1 0.76323220 0.13317292 0.67290648 1
  O O10 1 0.86682708 0.23676780 0.32709352 1
  O O11 1 0.13317292 0.76323220 0.82709352 1"
AlReSi,Tetragonal,I4mm,107,3,0,-0.45734,TRUE,40.41356,9.913627,0.0475,FALSE,FALSE,NM,0,2.483052,39.04202,20.65874,"# generated using pymatgen
  data_AlReSi
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 4.59527219
  _cell_length_b 4.59527219
  _cell_length_c 4.59527219
  _cell_angle_alpha 139.58279124
  _cell_angle_beta 139.58279124
  _cell_angle_gamma 58.48732178
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural AlReSi
  _chemical_formula_sum 'Al1 Re1 Si1'
  _cell_volume 40.41356258
  _cell_formula_units_Z 1
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al Al0 1 0.66663038 0.66663038 0.00000000 1
  Re Re1 1 0.99264203 0.99264203 0.00000000 1
  Si Si2 1 0.34072760 0.34072760 -0.00000000 1"
BCl(OF2)2,Monoclinic,Cc,9,16,0.009036,-1.93889,FALSE,231.0237,2.217511,1.5296,FALSE,FALSE,NM,0,1.985738,15.44532,13.06039,"# generated using pymatgen
  data_BCl(OF2)2
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 5.17852097
  _cell_length_b 5.17852097
  _cell_length_c 9.96566960
  _cell_angle_alpha 85.29371256
  _cell_angle_beta 85.29371256
  _cell_angle_gamma 118.84641460
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural BCl(OF2)2
  _chemical_formula_sum 'B2 Cl2 O4 F8'
  _cell_volume 231.02374740
  _cell_formula_units_Z 2
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  B B0 1 0.58230100 0.44691800 0.52008400 1
  B B1 1 0.44691800 0.58230100 0.02008400 1
  Cl Cl2 1 0.14486700 0.67398900 0.75286100 1
  Cl Cl3 1 0.67398900 0.14486700 0.25286100 1
  O O4 1 0.91558200 0.38033700 0.80613900 1
  O O5 1 0.13563600 0.91819400 0.80537700 1
  O O6 1 0.38033700 0.91558200 0.30613900 1
  O O7 1 0.91819400 0.13563600 0.30537700 1
  F F8 1 0.81225000 0.69164900 0.56876000 1
  F F9 1 0.50272200 0.63896300 0.87060400 1
  F F10 1 0.69164900 0.81225000 0.06876000 1
  F F11 1 0.63896300 0.50272200 0.37060400 1
  F F12 1 0.58587600 0.18262600 0.56104600 1
  F F13 1 0.30532500 0.42254600 0.56055900 1
  F F14 1 0.18262600 0.58587600 0.06104600 1
  F F15 1 0.42254600 0.30532500 0.06055900 1"
BH6N,Triclinic,P1,1,24,0.051115,-0.30213,FALSE,202.585,0.758987,5.9101,FALSE,FALSE,NM,0.002726,1.425811,9.139725,6.851251,"# generated using pymatgen
  data_BH6N
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 4.30568800
  _cell_length_b 4.43995634
  _cell_length_c 11.41734407
  _cell_angle_alpha 100.19653617
  _cell_angle_beta 88.96740159
  _cell_angle_gamma 109.27519259
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural BH6N
  _chemical_formula_sum 'B3 H18 N3'
  _cell_volume 202.58503671
  _cell_formula_units_Z 3
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  B B0 1 0.41342000 0.26040900 0.64451000 1
  B B1 1 0.74448600 0.60172300 0.32155500 1
  B B2 1 0.03608100 0.95886200 0.98386600 1
  H H3 1 0.23211100 0.85031100 0.92682300 1
  H H4 1 0.66974800 0.46379700 0.95244500 1
  H H5 1 0.59670100 0.38434100 0.73361500 1
  H H6 1 0.54776000 0.12856300 0.56617200 1
  H H7 1 0.91495600 0.08767200 0.71238700 1
  H H8 1 0.14429800 0.88131700 0.74725400 1
  H H9 1 0.98224300 0.80788800 0.61165400 1
  H H10 1 0.89744300 0.73886900 0.41614900 1
  H H11 1 0.16386800 0.14351700 0.07583700 1
  H H12 1 0.91787300 0.09614100 0.92266400 1
  H H13 1 0.91307500 0.48419500 0.25262600 1
  H H14 1 0.24489100 0.40686500 0.38388100 1
  H H15 1 0.46681400 0.18132000 0.40452000 1
  H H16 1 0.31730900 0.15914700 0.26996800 1
  H H17 1 0.32711400 0.46372000 0.60801600 1
  H H18 1 0.53400300 0.72560100 0.03836300 1
  H H19 1 0.79773600 0.58355200 0.09291900 1
  H H20 1 0.65098800 0.78932900 0.27742400 1
  N N21 1 0.09315300 0.99069100 0.68130200 1
  N N22 1 0.42296000 0.31670500 0.34676100 1
  N N23 1 0.74157500 0.66286500 0.01954500 1"
Ba2NaNb5O15,Tetragonal,P4bm,100,46,0.007405,-3.11712,FALSE,662.6394,5.022753,2.4651,FALSE,FALSE,NM,0.000574,3.933124,65.75691,60.23346,"# generated using pymatgen
  data_Ba2NaNb5O15
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 12.64543700
  _cell_length_b 12.64543700
  _cell_length_c 4.14390300
  _cell_angle_alpha 90.00000000
  _cell_angle_beta 90.00000000
  _cell_angle_gamma 90.00000000
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural Ba2NaNb5O15
  _chemical_formula_sum 'Ba4 Na2 Nb10 O30'
  _cell_volume 662.63941577
  _cell_formula_units_Z 2
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ba Ba0 1 0.32943100 0.82943100 0.18301400 1
  Ba Ba1 1 0.82943100 0.67056900 0.18301400 1
  Ba Ba2 1 0.17056900 0.32943100 0.18301400 1
  Ba Ba3 1 0.67056900 0.17056900 0.18301400 1
  Na Na4 1 0.50000000 0.50000000 0.13578100 1
  Na Na5 1 0.00000000 0.00000000 0.13578100 1
  Nb Nb6 1 0.00000000 0.50000000 0.67161000 1
  Nb Nb7 1 0.50000000 0.00000000 0.67161000 1
  Nb Nb8 1 0.79173200 0.92422200 0.67733000 1
  Nb Nb9 1 0.20826800 0.07577800 0.67733000 1
  Nb Nb10 1 0.07577800 0.79173200 0.67733000 1
  Nb Nb11 1 0.92422200 0.20826800 0.67733000 1
  Nb Nb12 1 0.57577800 0.70826800 0.67733000 1
  Nb Nb13 1 0.70826800 0.42422200 0.67733000 1
  Nb Nb14 1 0.29173200 0.57577800 0.67733000 1
  Nb Nb15 1 0.42422200 0.29173200 0.67733000 1
  O O16 1 0.00000000 0.50000000 0.22498800 1
  O O17 1 0.50000000 0.00000000 0.22498800 1
  O O18 1 0.70423400 0.42208000 0.23126900 1
  O O19 1 0.29576600 0.57792000 0.23126900 1
  O O20 1 0.57792000 0.70423400 0.23126900 1
  O O21 1 0.42208000 0.29576600 0.23126900 1
  O O22 1 0.07792000 0.79576600 0.23126900 1
  O O23 1 0.79576600 0.92208000 0.23126900 1
  O O24 1 0.20423400 0.07792000 0.23126900 1
  O O25 1 0.92208000 0.20423400 0.23126900 1
  O O26 1 0.85861300 0.06834500 0.74202000 1
  O O27 1 0.14138700 0.93165500 0.74202000 1
  O O28 1 0.93165500 0.85861300 0.74202000 1
  O O29 1 0.06834500 0.14138700 0.74202000 1
  O O30 1 0.43165500 0.64138700 0.74202000 1
  O O31 1 0.64138700 0.56834500 0.74202000 1
  O O32 1 0.50598700 0.15676900 0.73127400 1
  O O33 1 0.15676900 0.49401300 0.73127400 1
  O O34 1 0.84323100 0.50598700 0.73127400 1
  O O35 1 0.49401300 0.84323100 0.73127400 1
  O O36 1 0.00598700 0.34323100 0.73127400 1
  O O37 1 0.99401300 0.65676900 0.73127400 1
  O O38 1 0.34323100 0.99401300 0.73127400 1
  O O39 1 0.65676900 0.00598700 0.73127400 1
  O O40 1 0.78119400 0.28119400 0.72356100 1
  O O41 1 0.28119400 0.21880600 0.72356100 1
  O O42 1 0.71880600 0.78119400 0.72356100 1
  O O43 1 0.21880600 0.71880600 0.72356100 1
  O O44 1 0.56834500 0.35861300 0.74202000 1
  O O45 1 0.35861300 0.43165500 0.74202000 1"
